Wages_Tips_Other_Compensation,Federal_Income_Tax_Withheld,Other_Income,Rents,Total_Income_W2,Appraised_Value,Borrower_Total_Income,Base,Overtime,Bonus,Commission,Mortgage_Amount
66592,6192,1984,1273,55825,351151,77832,2271,2694,847,1295,457888
55631,3915,2175,1951,55543,355368,66308,3903,1526,1383,588,440118
74010,4652,2243,1208,70975,293276,75597,2818,1167,1567,1259,310045
48101,5426,1992,1700,81547,335554,55831,3399,2192,822,690,514551
70804,5563,1929,1614,85112,423230,51042,3010,1470,878,1600,409622
62441,3413,2374,1893,67456,299965,89427,3742,1508,617,577,424796
43435,6138,1979,1038,88744,482596,58337,2679,2345,656,649,527032
46277,4583,2193,1078,52074,338475,84129,2343,1470,1020,989,314098
45056,5922,1089,1743,63081,482664,76984,3690,1670,1293,1777,508816
48147,3646,1959,1731,78412,327554,62631,3344,2482,1307,1356,562512
73912,3808,1034,1315,54756,488113,65113,3601,2725,1235,1385,686956
67791,5899,2320,1423,79605,293449,84541,3839,1590,1579,1584,435436
66651,5026,2347,1998,68070,258402,83474,2210,2063,739,1665,353735
50826,3911,2526,1023,53735,437329,55034,3154,1833,929,1360,470574
48093,4497,2680,1870,69684,441138,89497,3520,2642,1708,861,662431
70952,4704,1273,1757,53933,313164,76455,2350,2112,1983,750,385033
69235,3559,2719,1958,67053,379785,68438,3757,1011,1029,1435,342526
68928,5035,1788,1830,61236,265478,52132,3775,1283,1523,1125,373334
57603,3792,1652,1464,65842,288042,65397,2429,2004,1871,1650,368753
45815,3850,1498,1056,58762,280939,74699,2441,2876,1981,754,483761
50432,4171,1757,1049,70400,467535,72240,3104,1129,592,1582,372071
59589,4550,1253,1429,70443,427225,58390,3693,2990,1860,815,731514
51019,5142,1147,1238,82356,321967,77233,2103,2169,729,703,384488
66803,4706,1543,1882,89959,476456,50533,2001,1449,527,1711,338300
49810,5007,2939,1184,64057,425810,51414,2059,1753,636,780,354075
